iter	Passed	Remaining
0	156	156427
1	158	78983
2	159	53142
3	161	40094
4	162	32299
5	163	27106
6	165	23409
7	166	20644
8	168	18504
9	169	16760
10	170	15338
11	171	14149
12	173	13150
13	174	12281
14	175	11525
15	176	10865
16	178	10298
17	179	9782
18	180	9311
19	181	8903
20	183	8539
21	184	8204
22	185	7898
23	187	7616
24	188	7356
25	189	7115
26	191	6890
27	192	6680
28	193	6482
29	194	6299
30	196	6134
31	197	5970
32	198	5819
33	199	5680
34	201	5544
35	202	5417
36	203	5288
37	204	5179
38	205	5074
39	207	4973
40	208	4884
41	210	4794
42	211	4705
43	212	4623
44	214	4547
45	215	4474
46	217	4406
47	218	4330
48	219	4257
49	220	4193
50	221	4130
51	223	4073
52	224	4015
53	226	3959
54	227	3906
55	228	3853
56	230	3806
57	231	3757
58	232	3707
59	233	3662
60	235	3619
61	236	3577
62	237	3535
63	239	3496
64	240	3456
65	241	3419
66	242	3382
67	244	3346
68	245	3307
69	246	3274
70	247	3236
71	248	3205
72	249	3174
73	251	3142
74	252	3120
75	254	3092
76	255	3065
77	257	3038
78	258	3010
79	259	2986
80	260	2956
81	261	2932
82	263	2910
83	264	2889
84	266	2868
85	267	2847
86	269	2827
87	270	2806
88	272	2785
89	273	2764
90	274	2744
91	276	2725
92	277	2707
93	278	2688
94	279	2664
95	281	2648
96	282	2630
97	283	2613
98	285	2596
99	286	2577
100	287	2558
101	288	2541
102	290	2525
103	291	2511
104	292	2496
105	294	2480
106	295	2467
107	297	2455
108	298	2440
109	299	2425
110	301	2411
111	302	2398
112	302	2378
113	304	2365
114	305	2352
115	307	2340
116	308	2326
117	309	2314
118	310	2302
119	312	2289
120	313	2275
121	314	2263
122	315	2252
123	317	2240
124	318	2229
125	319	2217
126	321	2207
127	322	2197
128	323	2186
129	325	2177
130	326	2167
131	328	2157
132	329	2148
133	330	2138
134	332	2129
135	333	2119
136	334	2109
137	336	2099
138	337	2090
139	338	2081
140	340	2073
141	341	2066
142	343	2057
143	344	2049
144	346	2041
145	347	2032
146	348	2024
147	350	2017
148	351	2008
149	353	2000
150	354	1992
151	355	1984
152	357	1979
153	358	1971
154	360	1962
155	361	1955
156	362	1949
157	364	1942
158	365	1934
159	367	1927
160	368	1920
161	369	1913
162	371	1906
163	372	1899
164	373	1892
165	375	1884
166	376	1877
167	377	1871
168	379	1864
169	380	1857
170	381	1851
171	383	1845
172	384	1838
173	385	1832
174	387	1826
175	388	1819
176	390	1813
177	391	1807
178	392	1800
179	393	1793
180	395	1787
181	396	1781
182	397	1776
183	399	1769
184	400	1764
185	401	1758
186	403	1752
187	404	1747
188	405	1741
189	406	1735
190	408	1729
191	409	1724
192	411	1719
193	412	1713
194	413	1708
195	414	1702
196	416	1697
197	417	1691
198	419	1686
199	420	1681
200	421	1676
201	422	1670
202	424	1666
203	426	1663
204	427	1658
205	429	1654
206	430	1648
207	431	1643
208	433	1639
209	434	1634
210	435	1629
211	437	1624
212	438	1620
213	439	1615
214	441	1610
215	442	1605
216	443	1600
217	444	1595
218	445	1590
219	447	1585
220	448	1580
221	449	1576
222	451	1574
223	453	1570
224	454	1566
225	455	1561
226	457	1557
227	458	1553
228	460	1549
229	461	1544
230	462	1540
231	464	1536
232	465	1531
233	466	1527
234	467	1522
235	469	1518
236	470	1514
237	471	1510
238	473	1506
239	474	1502
240	475	1498
241	477	1494
242	478	1491
243	480	1487
244	481	1484
245	483	1480
246	484	1476
247	485	1472
248	486	1468
249	488	1464
250	489	1460
251	490	1457
252	492	1453
253	493	1449
254	494	1445
255	495	1441
256	497	1437
257	498	1433
258	499	1430
259	501	1426
260	502	1422
261	503	1418
262	504	1415
263	506	1411
264	507	1408
265	509	1405
266	510	1401
267	511	1397
268	512	1393
269	514	1390
270	515	1386
271	516	1383
272	518	1379
273	519	1376
274	520	1372
275	522	1369
276	523	1366
277	524	1363
278	526	1359
279	527	1356
280	528	1352
281	530	1350
282	531	1347
283	533	1343
284	534	1340
285	535	1337
286	536	1334
287	538	1330
288	539	1327
289	541	1324
290	542	1321
291	543	1318
292	545	1315
293	546	1312
294	547	1308
295	548	1305
296	550	1302
297	551	1300
298	553	1297
299	554	1293
300	555	1290
301	557	1287
302	558	1284
303	559	1281
304	561	1279
305	562	1274
306	563	1272
307	564	1269
308	566	1266
309	567	1262
310	568	1259
311	569	1256
312	571	1253
313	572	1250
314	573	1248
315	575	1245
316	576	1242
317	577	1238
318	579	1236
319	580	1232
320	581	1229
321	582	1227
322	584	1224
323	585	1221
324	587	1219
325	588	1216
326	589	1213
327	591	1211
328	593	1209
329	594	1206
330	595	1203
331	596	1201
332	598	1198
333	599	1195
334	600	1192
335	602	1189
336	603	1187
337	604	1184
338	606	1182
339	607	1180
340	612	1183
341	613	1180
342	614	1177
343	616	1175
344	617	1172
345	618	1169
346	620	1166
347	621	1164
348	622	1161
349	623	1158
350	625	1156
351	626	1153
352	628	1151
353	629	1148
354	630	1146
355	632	1143
356	633	1141
357	635	1139
358	636	1136
359	637	1133
360	639	1131
361	640	1129
362	641	1126
363	643	1123
364	644	1121
365	645	1118
366	647	1116
367	648	1113
368	649	1111
369	651	1109
370	652	1106
371	654	1104
372	655	1101
373	656	1099
374	658	1096
375	659	1094
376	660	1091
377	662	1089
378	663	1087
379	665	1085
380	666	1083
381	668	1081
382	669	1078
383	671	1076
384	672	1074
385	673	1071
386	674	1068
387	676	1066
388	677	1064
389	678	1061
390	680	1059
391	681	1056
392	682	1054
393	684	1052
394	685	1050
395	686	1047
396	688	1045
397	689	1042
398	690	1040
399	692	1038
400	693	1035
401	694	1033
402	695	1031
403	697	1028
404	698	1026
405	700	1024
406	701	1022
407	702	1020
408	704	1017
409	705	1015
410	707	1013
411	708	1011
412	709	1008
413	711	1006
414	712	1004
415	713	1002
416	715	999
417	716	997
418	717	995
419	719	993
420	720	991
421	722	989
422	723	986
423	724	984
424	725	982
425	726	979
426	728	977
427	729	974
428	730	972
429	732	971
430	734	969
431	735	967
432	737	965
433	738	963
434	739	960
435	741	958
436	742	956
437	743	954
438	745	952
439	746	950
440	747	947
441	749	945
442	750	943
443	751	941
444	752	939
445	754	936
446	755	934
447	756	932
448	758	930
449	759	928
450	761	926
451	762	924
452	763	922
453	765	920
454	766	918
455	767	915
456	769	913
457	770	911
458	771	909
459	773	907
460	774	905
461	775	903
462	777	901
463	778	899
464	779	896
465	780	894
466	782	892
467	783	890
468	784	887
469	785	885
470	787	884
471	788	882
472	790	880
473	791	878
474	792	876
475	794	874
476	795	872
477	796	870
478	798	868
479	799	866
480	800	864
481	802	862
482	803	860
483	804	858
484	806	856
485	807	854
486	809	852
487	810	850
488	812	848
489	813	846
490	814	844
491	816	842
492	817	841
493	819	839
494	820	837
495	821	835
496	823	833
497	824	831
498	826	829
499	827	827
500	828	825
501	829	823
502	831	821
503	832	819
504	833	817
505	834	814
506	835	812
507	837	810
508	838	808
509	840	807
510	841	805
511	842	803
512	844	801
513	845	799
514	847	797
515	848	795
516	849	793
517	851	792
518	852	790
519	853	788
520	855	786
521	856	784
522	858	783
523	860	781
524	861	779
525	862	777
526	864	775
527	865	773
528	866	771
529	868	769
530	869	767
531	870	765
532	872	764
533	873	762
534	874	760
535	876	758
536	877	756
537	879	754
538	880	753
539	882	751
540	883	749
541	884	747
542	885	745
543	887	743
544	888	742
545	890	740
546	891	738
547	892	736
548	894	734
549	895	733
550	897	731
551	898	729
552	899	727
553	900	725
554	902	723
555	903	721
556	904	719
557	906	717
558	907	715
559	908	714
560	910	712
561	911	710
562	913	708
563	914	707
564	916	705
565	917	703
566	918	701
567	919	699
568	921	697
569	922	695
570	923	693
571	924	692
572	925	690
573	927	688
574	928	686
575	929	684
576	930	682
577	932	680
578	933	678
579	934	676
580	935	674
581	937	673
582	938	671
583	939	669
584	941	667
585	942	665
586	943	664
587	945	662
588	946	660
